coordinate_velocity_c,positive_energy_J,scaling_factor,tidal_acceleration_g,t_stress_tensor,viable_operation,earth_proxima_days,energy_efficiency,velocity_category
49.0,5.57276956477801e+61,1.0321083084730254,0.13617950476515883,7.391115191220754e+40,True,31.60530612244898,1.7944398891358696e-47,MEDIUM_VELOCITY
50.0,5.746394176758616e+61,1.0311558929473739,0.14325260046450508,7.621391984880135e+40,True,30.973200000000002,1.7402217272955555e-47,MEDIUM_VELOCITY
51.0,5.920171871858389e+61,1.0302411720731968,0.1505213726708228,7.851871811332178e+40,True,30.365882352941178,1.689140149382339e-47,MEDIUM_VELOCITY
52.0,6.094000206729458e+61,1.0293620419531002,0.15798601120154465,8.082418800866877e+40,True,29.78192307692308,1.6409582639917273e-47,MEDIUM_VELOCITY
53.0,6.267780121651673e+61,1.0285165587507388,0.1656466550494465,8.312901571449873e+40,True,29.220000000000002,1.595461200921136e-47,MEDIUM_VELOCITY
54.0,6.441415954057077e+61,1.0277029233692467,0.17350339474073867,8.543193246659839e+40,True,28.678888888888892,1.55245369516955e-47,MEDIUM_VELOCITY
55.0,6.614815443801721e+61,1.0269194678594586,0.18155627458294502,8.773171462680445e+40,True,28.15745454545455,1.511757974951561e-47,MEDIUM_VELOCITY
56.0,6.78788973061797e+61,1.0261646433353517,0.18980529480829778,9.002718364921363e+40,True,27.654642857142857,1.4732119107494105e-47,MEDIUM_VELOCITY
57.0,6.960553344186689e+61,1.0254370092062473,0.19825041361804413,9.231720594851118e+40,True,27.169473684210526,1.4366673891454037e-47,MEDIUM_VELOCITY
58.0,7.132724187271573e+61,1.0247352235621723,0.20689154913274466,9.460069267628272e+40,True,26.701034482758622,1.401988880748412e-47,MEDIUM_VELOCITY
59.0,7.304323512358716e+61,1.0240580345716106,0.21572858125335154,9.687659941118703e+40,True,26.24847457627119,1.3690521761639216e-47,MEDIUM_VELOCITY
60.0,7.475275892242332e+61,1.0234042727700066,0.22476135343758208,9.914392576883712e+40,True,25.811,1.337743267827448e-47,MEDIUM_VELOCITY
61.0,7.645509184993629e+61,1.0227728441338146,0.23398967439584312,1.0140171493718534e+41,True,25.387868852459018,1.30795735876267e-47,MEDIUM_VELOCITY
62.0,7.814954493743717e+61,1.022162723848749,0.24341331971072597,1.0364905314312775e+41,True,24.978387096774195,1.2795979820490992e-47,MEDIUM_VELOCITY
63.0,7.983546121703484e+61,1.021572950692769,0.25303203338386326,1.0588506905593665e+41,True,24.581904761904763,1.2525762170791162e-47,MEDIUM_VELOCITY
64.0,8.151221522833959e+61,1.0210026219645234,0.262845529313729,1.0810893313300594e+41,True,24.1978125,1.2268099906237452e-47,MEDIUM_VELOCITY
65.0,8.317921248569815e+61,1.0204508888966985,0.2728534927077685,1.1031985691324965e+41,True,23.825538461538464,1.2022234523703145e-47,MEDIUM_VELOCITY
66.0,8.483588890986555e+61,1.0199169525012304,0.2830555814320525,1.1251709226333337e+41,True,23.464545454545455,1.1787464159920062e-47,MEDIUM_VELOCITY
67.0,8.648171022788926e+61,1.0194000597998367,0.29345142730148427,1.146999305817458e+41,True,23.114328358208958,1.156313857999437e-47,MEDIUM_VELOCITY
68.0,8.811617134483977e+61,1.0188995003989112,0.3040406373134162,1.168677019655306e+41,True,22.774411764705885,1.1348654676410447e-47,MEDIUM_VELOCITY
69.0,8.973879569087763e+61,1.01841460337272,0.3148227948273872,1.1901977434430708e+41,True,22.444347826086958,1.1143452419895296e-47,MEDIUM_VELOCITY
70.0,9.134913454699332e+61,1.017944734423034,0.3257974606935393,1.2115555258600508e+41,True,22.123714285714286,1.0947011210988142e-47,MEDIUM_VELOCITY
71.0,9.294676635260092e+61,1.0174892932870176,0.3369641743321434,1.2327447757853243e+41,True,21.81211267605634,1.075884658758779e-47,MEDIUM_VELOCITY
72.0,9.453129599800819e+61,1.0170477113684218,0.34832245476653145,1.2537602529138422e+41,True,21.50916666666667,1.0578507249293086e-47,MEDIUM_VELOCITY
73.0,9.610235410462451e+61,1.0166194495699015,0.35987180161161414,1.2745970582098907e+41,True,21.214520547945206,1.0405572364141277e-47,MEDIUM_VELOCITY
74.0,9.765959629560926e+61,1.0162039963067857,0.37161169602004845,1.2952506242337635e+41,True,20.92783783783784,1.0239649127496543e-47,MEDIUM_VELOCITY
75.0,9.920270245949957e+61,1.015800865684714,0.38354160158801487,1.3157167053753231e+41,True,20.6488,1.0080370546440097e-47,MEDIUM_VELOCITY
76.0,1.0073137600920182e+62,1.0154095958255407,0.3956609652224616,1.3359913680260687e+41,True,20.377105263157897,9.927393426142119e-48,MEDIUM_VELOCITY
77.0,1.0224534313857043e+62,1.0150297473274892,0.4079692179715772,1.3560709807192073e+41,True,20.112467532467534,9.780396537422013e-48,MEDIUM_VELOCITY
78.0,1.0374435207864643e+62,1.014660901847084,0.4204657758201689,1.3759522042652105e+41,True,19.854615384615386,9.639078947082544e-48,MEDIUM_VELOCITY
79.0,1.0522817235547622e+62,1.0143026607916443,0.4331500404515311,1.395631981908331e+41,True,19.603291139240508,9.503158494683849e-48,MEDIUM_VELOCITY
80.0,1.0669659405128468e+62,1.0139546441123002,0.44602139997731693,1.4151075295276059e+41,True,19.35825,9.372370401245808e-48,MEDIUM_VELOCITY
81.0,1.0814942707063628e+62,1.0136164891885235,0.45907922963684566,1.4343763259040169e+41,True,19.11925925925926,9.246465996966068e-48,MEDIUM_VELOCITY
82.0,1.0958650041307657e+62,1.0132878497960205,0.47232289246720816,1.4534361030735971e+41,True,18.88609756097561,9.125211556447089e-48,MEDIUM_VELOCITY
83.0,1.1100766145361942e+62,1.012968395150734,0.48575173994546944,1.4722848367845983e+41,True,18.658554216867472,9.008387231162546e-48,MEDIUM_VELOCITY
84.0,1.1241277523231307e+62,1.0126578090223144,0.49936511260419575,1.4909207370750672e+41,True,18.43642857142857,8.895786069985307e-48,MEDIUM_VELOCITY
85.0,1.1380172375400075e+62,1.0123557889111559,0.5131623406214834,1.5093422389856317e+41,True,18.219529411764707,8.787213119562652e-48,MEDIUM_VELOCITY
86.0,1.1517440529927266e+62,1.012062045283595,0.5271427443866009,1.527547993420719e+41,True,18.00767441860465,8.682484597177383e-48,MEDIUM_VELOCITY
